	1379655700.140001	vcan0
	1379655723.902355	vcan0
	1379655729.929135	vcan0
000291  11 22	1379655796.951804	vcan0
000291  11 22	1379655798.859532	vcan0
000291  11 22	1379655870.764320	vcan0
000291  11 22	1379655871.147075	vcan0
000291  11 22	1379655871.458763	vcan0
000291  11 22	1379655871.777879	vcan0
000291  11 22	1379655872.081345	vcan0
000291  11 22	1379655872.384363	vcan0
000291  11 22	1379655872.695644	vcan0
000291  11 22	1379655873.023006	vcan0
000291  11 22	1379655873.342889	vcan0
000291  11 22	1379655873.678998	vcan0
000291  11 22	1379655873.996687	vcan0
000291  11 22	1379655874.316400	vcan0
000291  11 22	1379655874.643744	vcan0
000291  11 22	1379655874.986451	vcan0
000291  11 22	1379655875.345523	vcan0
000291  11 22	1379655875.569344	vcan0
000291  11 22	1379655876.375504	vcan0
000291  11 22	1379655876.702518	vcan0
000291  11 22	1379655876.902084	vcan0
000291  11 22	1379656221.820706	vcan0
000291  11 22	1379656225.364064	vcan0
000291  11 22	1379657203.757066	vcan0
000291  11 22	1379657207.228809	vcan0
000291  11 22	1379657207.651832	vcan0
000291  11 22	1379657207.995218	vcan0
000291  11 22	1379657208.362269	vcan0
000291  11 22	1379657208.730154	vcan0
000291  11 22	1379657209.104884	vcan0
000291  11 22	1379657209.488062	vcan0
000291  11 22	1379657209.999476	vcan0
000291  11 22	1379657210.469581	vcan0
000291  11 22	1379657210.900884	vcan0
000291  11 22	1379657211.451165	vcan0
000291  11 22	1379657211.890146	vcan0
000291  11 22	1379657212.409037	vcan0
000291  11 22	1379657489.774246	vcan0
000291  11 22	1379657490.460713	vcan0
000291  11 22	1379657490.828006	vcan0
000291  11 22	1379657491.154958	vcan0
000291  11 22	1379657491.482858	vcan0
000291  11 22	1379688967.334811	vcan0
000291  11 22	1379691816.569284	vcan0
000291  11 22	1379691818.086067	vcan0
000291  11 22	1379691861.986210	vcan0
